Code,RoomFloor,Room,Category,SurfaceArea,FullRoom,Capacity
01.02.110.048,1,48,,,,
01.02.110.049,1,49,,,,
01.02.130.040,3,40,,,,
01.02.120.044,2,44,,,,
01.02.100.034,0,34,consultatie,12.0,GSCHB.0.034,4
01.02.100.035,0,35,consultatie,12.0,GSCHB.0.035,8
01.02.100.033,0,33,consultatie,12.0,GSCHB.0.033,4
01.02.120.027,2,27,laptoplokaal,56.02,GSCHB.2.027,24
01.02.140.027,4,27,PC-klas,106.13,GSCHB.4.027,54
01.02.140.010,4,10,PC-klas,70.43,GSCHB.4.010,36
01.02.130.009,3,9,PC-klas,105.44,GSCHB.3.009,60
01.02.120.030,2,30,laptoplokaal,54.25,GSCHB.2.030,25
01.02.120.031,2,31,laptoplokaal,55.89,GSCHB.2.031,25
01.02.120.035,2,35,laptoplokaal,107.88,GSCHB.2.035,33
01.02.110.007,1,7,PC-klas,106.53,GSCHB.1.007,60
01.02.120.033,2,33,laptoplokaal,55.87,GSCHB.2.033,25
01.02.120.039,2,39,laboratorium,306.58,GSCHB.2.039,30
01.02.110.038,1,38,laboratorium,68.5,GSCHB.1.038,25
01.02.130.018,3,18,vergaderzaal,46.26,GSCHB.3.018,14
01.02.110.009,1,9,vergaderzaal,50.24,GSCHB.1.009,20
01.02.120.002,2,2,vergaderzaal,7.84,GSCHB.2.002,4
01.02.130.016,3,16,vergaderzaal,97.96,GSCHB.3.016,35
01.02.100.040,0,40,restaurant,596.0,GSCHB.0.040,
01.02.100.010,0,10,auditorium,363.73,GSCHB.0.010,381
01.02.110.032,1,32,auditorium,161.88,GSCHB.1.032,153
01.02.120.018,2,18,auditorium,128.35,GSCHB.2.018,107
01.02.120.015,2,15,auditorium,125.08,GSCHB.2.015,101
01.02.110.017,1,17,auditorium,128.05,GSCHB.1.017,110
01.02.110.015,1,15,auditorium,125.11,GSCHB.1.015,107
01.02.100.064,0,64,auditorium,110.25,GSCHB.0.064,107
01.02.130.019,3,19,auditorium,118.11,GSCHB.3.019,101
01.02.110.034,1,34,auditorium,127.64,GSCHB.1.034,107
01.02.130.006,3,6,leslokaal,52.58,GSCHB.3.006,34
01.02.100.078,0,78,atelier,247.24,GSCHB.0.078,95
01.02.130.015,3,15,leslokaal,71.06,GSCHB.3.015,44
01.02.140.016,4,16,leslokaal,70.15,GSCHB.4.016,54
